,Unnamed: 0,carat,cut,color,clarity,depth,table,cost,x,y,z,Zeroes,ones
0,1,0,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,0,0
1,2,0,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,1,1
2,3,0,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,2,4
3,4,0,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,3,9
4,5,0,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,4,16
5,6,0,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,5,25
6,7,0,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,6,36
7,8,0,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,7,49
8,9,0,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,8,64
9,10,0,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,9,81
10,11,0,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,10,100
11,12,0,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,11,121
12,13,0,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,12,144
13,14,0,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,13,169
14,15,0,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,14,196
15,16,0,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,15,225
16,17,0,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,16,256
17,18,0,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,17,289
18,19,0,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,18,324
19,20,0,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,19,361
20,21,0,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,20,400
21,22,0,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,21,441
22,23,0,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,22,484
23,24,0,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,23,529
24,25,0,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,24,576
25,26,0,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,25,625
26,27,0,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,26,676
27,28,0,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,27,729
28,29,0,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,28,784
29,30,0,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,29,841
30,31,0,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,30,900
31,32,0,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42,31,961
32,33,0,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42,32,1024
33,34,0,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4,33,1089
34,35,0,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44,34,1156
35,36,0,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37,35,1225
36,37,0,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46,36,1296
37,38,0,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,37,1369
38,39,0,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,38,1444
39,40,0,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,39,1521
40,41,0,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,40,1600
41,42,0,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,41,1681
42,43,0,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,42,1764
43,44,0,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,43,1849
44,45,0,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,44,1936
45,46,0,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,45,2025
46,47,0,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,46,2116
47,48,0,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,47,2209
48,49,0,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,48,2304
49,50,0,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,49,2401
50,51,0,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,50,2500
51,52,0,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,51,2601
52,53,0,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,52,2704
53,54,0,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,53,2809
54,55,0,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,54,2916
55,56,0,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,55,3025
